Tỉnh/TP,Tổng số ca,Hôm nay,Tử vong
TP. Hồ Chí Minh,508.255,+489,19.693
Bình Dương,291.381,+52,3.326
Đồng Nai,98.583,+127,1.514
Tây Ninh,81.886,+583,742
Hà Nội,62.536,+2.723,170
Vĩnh Long,47.158,+699,455
Đồng Tháp,45.445,+135,663
Cần Thơ,42.365,+213,683
Cà Mau,42.110,+676,209
Long An,40.737,+32,946
Khánh Hòa,38.730,+790,197
Tiền Giang,34.504,+97,1.031
An Giang,34.081,+188,1.095
Bạc Liêu,32.126,+210,293
Trà Vinh,31.637,+498,155
Kiên Giang,31.118,+229,596
Sóc Trăng,30.972,+91,394
Bến Tre,28.232,+443,235
Bà Rịa – Vũng Tàu,27.330,+263,240
Bình Phước,26.989,+716,87
Bình Thuận,26.961,+121,318
Bình Định,20.232,+667,67
Hải Phòng,15.612,+795,10
Thừa Thiên Huế,15.395,+235,79
Bắc Ninh,14.135,+351,18
Đà Nẵng,13.353,+309,112
Hậu Giang,12.969,+148,82
Đắk Lắk,12.297,-,68
Lâm Đồng,10.883,+245,30
Thanh Hóa,9.622,+275,13
Bắc Giang,8.906,+162,14
Nghệ An,8.757,+131,36
Hà Giang,8.753,+263,7
Phú Yên,8.053,+56,55
Gia Lai,8.036,+2,21
Quảng Nam,7.556,+173,21
Hưng Yên,7.300,+319,2
Quảng Ngãi,6.968,+186,29
Ninh Thuận,6.029,+39,54
Đắk Nông,5.751,+106,14
Quảng Ninh,5.294,+345,1
Hải Dương,5.122,+443,2
Nam Định,4.188,+172,4
Quảng Bình,3.995,+54,8
Vĩnh Phúc,3.969,+157,6
Phú Thọ,3.688,+103,3
Thái Bình,3.340,+132,0
Hà Nam,3.067,+98,0
Thái Nguyên,2.821,+165,1
Quảng Trị,2.665,+160,4
Hòa Bình,2.382,+197,4
Lạng Sơn,1.906,-,7
Sơn La,1.877,+96,0
Hà Tĩnh,1.733,-,5
Ninh Bình,1.460,-,0
Tuyên Quang,1.289,+35,0
Kon Tum,1.166,+23,0
Yên Bái,917,+73,0
Lào Cai,894,+27,0
Cao Bằng,869,+31,1
Điện Biên,844,+21,0
Bắc Kạn,416,+53,0
Lai Châu,234,+32,0
